action,FOLD,CALL/CHECK,BETS/RAISE,pot,stack,active player
Bets,0,1,0,1.25,138.05,2
Calls,0,1,2,9.25,133.05,2
Checks,0,0,0,1.25,17.5,2
Raises,0,1,1,2.75,11.0,2
Bets,0,0,0,1.25,49.68,2
Calls,0,0,1,3.25,31.75,2
Checks,0,1,0,0.25,51.85,2
Checks,0,0,0,0.25,15.1,2
Bets,0,0,0,0.75,55.73,3
Folds,0,1,1,3.75,120.05,3
Calls,0,0,1,2.25,28.75,3
Bets,0,1,0,5.25,113.55,2
Raises,0,1,2,27.25,81.55,2
Checks,0,0,0,5.25,33.85,2
Raises,0,1,1,9.25,15.850000000000001,2
All-In,0,1,3,59.25,0.2500000000000018,2
Checks,0,0,0,5.25,56.53,3
Raises,0,2,1,8.25,41.53,3
Checks,0,1,0,5.25,150.65,3
Folds,0,2,2,23.25,150.65,3
Bets,0,2,0,5.25,23.31,3
Calls,1,2,2,23.25,11.309999999999999,2
Calls,0,0,1,3.0,27.97,2
Bets,0,0,0,2.5,55.12,2
Folds,0,0,1,54.75,16.37,2
Bets,0,0,0,27.0,15.520000000000003,2
Bets,0,1,0,8.25,15.05,2
Checks,0,0,0,8.25,44.22,2
Folds,0,1,1,12.75,44.22,2
Checks,0,1,0,0.25,70.45,2
Checks,0,0,0,0.25,5.7,2
Checks,0,0,0,0.5,33.95,2
Checks,0,1,0,0.5,102.89,2
Folds,0,0,1,5.25,99.5,3
Folds,1,0,1,5.25,16.0,2
Bets,0,0,0,2.25,79.81,3
Checks,0,1,0,0.5,50.75,2
Checks,0,0,0,0.5,104.9,2
Checks,0,1,0,0.25,145.08,2
Checks,0,0,0,0.25,13.65,2
Checks,0,0,0,0.25,85.05,2
Checks,0,1,0,0.25,25.0,2
Checks,0,0,0,2.25,64.8,2
Calls,0,1,1,2.75,64.3,2
Bets,0,1,0,2.25,18.73,2
Checks,0,0,0,5.25,64.6,2
Folds,0,1,1,8.25,64.6,2
Bets,0,1,0,5.25,15.030000000000001,2
Checks,0,0,0,3.75,17.75,3
Checks,0,2,0,3.75,15.350000000000001,3
Checks,0,1,0,3.75,74.0,3
Calls,0,1,1,2.25,62.349999999999994,3
Bets,0,1,0,0.75,31.630000000000003,3
Checks,0,0,0,0.75,22.98,3
Folds,0,2,1,3.75,22.98,3
Checks,0,1,0,6.0,116.28,2
Checks,0,2,0,6.0,17.2,2
Checks,0,0,0,6.0,72.65,2
Bets,0,0,0,1.75,100.8,2
Calls,0,0,1,3.25,31.25,2
Checks,0,1,0,0.25,28.83,3
Checks,0,0,0,0.25,22.77,3
Checks,0,0,0,5.5,14.379999999999999,1
Checks,0,1,0,5.5,127.09,1
Bets,0,1,0,3.75,15.77,2
Checks,0,0,0,3.75,18.5,2
Calls,0,1,1,8.25,14.0,2
Checks,0,0,0,4.5,107.34,3
Folds,0,1,2,20.23,107.34,3
Raises,0,1,1,7.12,92.99,3
Bets,0,1,0,4.5,112.08999999999999,3
Folds,1,1,2,20.23,112.08999999999999,2
Bets,0,0,0,3.74,22.67,2
Folds,0,0,1,5.98,32.78,2
Checks,0,0,0,3.0,31.53,2
Calls,0,1,1,6.75,27.78,2
Bets,0,1,0,3.0,4.119999999999999,2
Bets,0,0,0,39.0,55.84,2
Calls,0,0,2,164.09,10.25,2
All-In,0,0,1,78.75,0.5,2
Bets,0,1,0,0.75,19.5,3
Calls,1,1,2,4.25,17.0,2
Checks,0,0,0,0.75,34.9,3
Folds,0,1,2,4.25,34.9,3
Raises,0,1,1,1.25,30.6,3
Bets,0,0,0,0.25,22.85,2
Calls,0,0,1,1.25,29.1,2
Checks,0,2,0,2.25,27.15,3
