action,FOLD,CALL/CHECK,BETS/RAISE,pot,stack,active player
Folds,0,0,1,3.25,26.32,2
Bets,0,0,0,1.25,82.88,2
Bets,0,0,0,2.25,428.52,2
Calls,0,0,1,5.25,96.0,2
Folds,0,0,1,0.75,24.57,2
Bets,0,0,0,0.25,87.03,2
Bets,0,1,0,0.25,23.82,2
Checks,0,0,0,0.25,87.73,2
Folds,0,1,1,0.75,87.73,2
Checks,0,1,0,2.25,85.98,2
Checks,0,0,0,2.25,24.02,2
Bets,0,1,0,1.25,21.45,2
Checks,0,0,0,1.25,87.4,2
Folds,0,1,1,3.25,87.4,2
Raises,0,0,1,2.75,81.15,2
Bets,0,0,0,2.25,23.6,2
Folds,0,0,2,7.25,23.6,2
Checks,0,1,0,0.25,22.85,2
Checks,0,0,0,0.25,88.7,2
Folds,0,0,1,3.75,22.55,2
Bets,0,0,0,2.25,85.45,2
Bets,0,1,0,0.25,88.05,2
Checks,0,0,0,0.25,22.3,2
Folds,0,1,1,1.25,22.3,2
Checks,0,1,0,0.25,21.55,2
Checks,0,0,0,0.25,89.75,2
Bets,0,1,0,1.25,19.0,2
Folds,0,1,2,2.75,19.0,2
Checks,0,0,0,1.25,74.25,2
Raises,0,1,1,1.75,73.25,2
Checks,0,0,0,1.25,18.25,2
Checks,0,1,0,1.25,75.35,2
Checks,0,1,0,0.25,20.3,2
Checks,0,0,0,0.25,74.1,2
Checks,0,0,0,2.25,19.8,2
Calls,0,1,1,4.25,17.8,2
Bets,0,1,0,2.25,70.55,2
Checks,0,1,0,2.25,16.05,2
Checks,0,0,0,2.25,75.95,2
Checks,0,0,0,2.25,14.8,2
Checks,0,1,0,2.25,77.05,2
Folds,0,0,1,1.25,19.6,2
Bets,0,0,0,0.25,72.8,2
Bets,0,1,0,0.25,18.35,2
Checks,0,0,0,0.25,74.0,2
Folds,0,1,1,1.25,74.0,2
Bets,0,1,0,0.25,20.3,2
Checks,0,0,0,0.25,72.0,2
Folds,0,1,1,1.25,72.0,2
Checks,0,0,0,2.25,21.0,2
Checks,0,1,0,2.25,70.25,2
Calls,0,0,1,7.25,20.3,2
Bets,0,0,0,3.25,61.5,2
